experiment_id,date,architecture,encoder,pretrained_weights,loss,optimizer,learning_rate,scheduler,epochs,batch_size,image_size,crop_size,augmentation,normalization,mean_iou,mean_iou_change_vs_baseline_pct,mean_dice,mean_dice_change_vs_baseline_pct,pixel_accuracy,pixel_accuracy_change_vs_baseline_pct,checkpoint_path,comments
040_unet_resnet34_ce_dice_50ep,2026-06-20T19:15:14,unet,resnet34,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,50,4,512x1024,512x512,basic_aug,imagenet,0.609239,2974.480218,0.692383,2304.775632,0.946720,151.447512,outputs/train/040_unet_resnet34_ce_dice_50ep/checkpoints/best.pt,Training run; best epoch 46 by validation mean IoU.
040_unet_resnet34_ce_dice_50ep_eval,2026-06-20T19:17:31,unet,resnet34,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,50,4,512x1024,512x512,basic_aug,imagenet,0.690960,3386.879289,0.804469,2694.071270,0.947765,151.725063,outputs/train/040_unet_resnet34_ce_dice_50ep/checkpoints/best.pt,Evaluation run on the val split.
041_unet_resnet34_ce_dice_strong_aug,2026-06-20T19:51:33,unet,resnet34,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,strong_aug,imagenet,0.587634,2865.452160,0.670454,2228.612114,0.945470,151.115514,outputs/train/041_unet_resnet34_ce_dice_strong_aug/checkpoints/best.pt,Training run; best epoch 30 by validation mean IoU.
041_unet_resnet34_ce_dice_strong_aug_eval,2026-06-20T19:53:49,unet,resnet34,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,strong_aug,imagenet,0.684214,3352.836092,0.799929,2678.303001,0.946392,151.360396,outputs/train/041_unet_resnet34_ce_dice_strong_aug/checkpoints/best.pt,Evaluation run on the val split.
042_fpn_resnet34_ce_dice,2026-06-20T20:26:30,fpn,resnet34,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.602384,2939.886960,0.688065,2289.778411,0.944191,150.775814,outputs/train/042_fpn_resnet34_ce_dice/checkpoints/best.pt,Training run; best epoch 28 by validation mean IoU.
042_fpn_resnet34_ce_dice_eval,2026-06-20T20:28:29,fpn,resnet34,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.680695,3335.077715,0.797714,2670.609892,0.945047,151.003166,outputs/train/042_fpn_resnet34_ce_dice/checkpoints/best.pt,Evaluation run on the val split.
043_deeplabv3plus_resnet101_ce_dice,2026-06-20T21:05:05,deeplabv3plus,resnet101,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.605265,2954.425717,0.690926,2299.715199,0.943976,150.718710,outputs/train/043_deeplabv3plus_resnet101_ce_dice/checkpoints/best.pt,Training run; best epoch 28 by validation mean IoU.
043_deeplabv3plus_resnet101_ce_dice_eval,2026-06-20T21:07:08,deeplabv3plus,resnet101,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.702178,3443.490109,0.812992,2723.673243,0.945048,151.003432,outputs/train/043_deeplabv3plus_resnet101_ce_dice/checkpoints/best.pt,Evaluation run on the val split.
044_unetplusplus_resnet34_ce_dice,2026-06-20T21:53:13,unetplusplus,resnet34,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.604996,2953.068228,0.686035,2282.727841,0.948736,151.982959,outputs/train/044_unetplusplus_resnet34_ce_dice/checkpoints/best.pt,Training run; best epoch 29 by validation mean IoU.
044_unetplusplus_resnet34_ce_dice_eval,2026-06-20T21:55:12,unetplusplus,resnet34,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.692472,3394.509487,0.805738,2698.478744,0.949472,152.178440,outputs/train/044_unetplusplus_resnet34_ce_dice/checkpoints/best.pt,Evaluation run on the val split.
045_unet_efficientnet_b3_ce_dice,2026-06-20T22:35:16,unet,efficientnet-b3,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.620882,3033.235769,0.703594,2343.713532,0.950129,152.352938,outputs/train/045_unet_efficientnet_b3_ce_dice/checkpoints/best.pt,Training run; best epoch 26 by validation mean IoU.
045_unet_efficientnet_b3_ce_dice_eval,2026-06-20T22:37:14,unet,efficientnet-b3,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.690762,3385.880097,0.794614,2659.843012,0.950966,152.575244,outputs/train/045_unet_efficientnet_b3_ce_dice/checkpoints/best.pt,Evaluation run on the val split.
046_fpn_efficientnet_b3_ce_dice,2026-06-20T23:16:10,fpn,efficientnet-b3,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.625643,3057.261809,0.709670,2364.816616,0.949361,152.148958,outputs/train/046_fpn_efficientnet_b3_ce_dice/checkpoints/best.pt,Training run; best epoch 30 by validation mean IoU.
046_fpn_efficientnet_b3_ce_dice_eval,2026-06-20T23:17:57,fpn,efficientnet-b3,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.728307,3575.348203,0.833546,2795.061128,0.950271,152.390653,outputs/train/046_fpn_efficientnet_b3_ce_dice/checkpoints/best.pt,Evaluation run on the val split.
047_deeplabv3plus_efficientnet_b3_ce_dice,2026-06-20T23:55:33,deeplabv3plus,efficientnet-b3,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.619456,3026.039564,0.705524,2350.416782,0.947276,151.595185,outputs/train/047_deeplabv3plus_efficientnet_b3_ce_dice/checkpoints/best.pt,Training run; best epoch 28 by validation mean IoU.
047_deeplabv3plus_efficientnet_b3_ce_dice_eval,2026-06-20T23:57:19,deeplabv3plus,efficientnet-b3,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.725622,3561.798547,0.830984,2786.162823,0.948156,151.828912,outputs/train/047_deeplabv3plus_efficientnet_b3_ce_dice/checkpoints/best.pt,Evaluation run on the val split.
048_unet_resnet34_ce_lovasz,2026-06-21T00:31:08,unet,resnet34,imagenet,cross_entropy_lovasz,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.541595,2633.119701,0.617543,2044.842317,0.946711,151.445122,outputs/train/048_unet_resnet34_ce_lovasz/checkpoints/best.pt,Training run; best epoch 30 by validation mean IoU.
048_unet_resnet34_ce_lovasz_eval,2026-06-21T00:32:48,unet,resnet34,imagenet,cross_entropy_lovasz,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.686509,3364.417642,0.800592,2680.605724,0.947637,151.691066,outputs/train/048_unet_resnet34_ce_lovasz/checkpoints/best.pt,Evaluation run on the val split.
049_segformer_mit_b1_ce_dice_optional,2026-06-21T08:54:21,segformer,mit_b1,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,2,512x1024,512x512,basic_aug,imagenet,0.624731,3052.659467,0.703513,2343.432203,0.947662,151.697706,outputs/train/049_segformer_mit_b1_ce_dice_optional/checkpoints/best.pt,Training run; best epoch 30 by validation mean IoU.
049_segformer_mit_b1_ce_dice_optional_eval,2026-06-21T08:58:17,segformer,mit_b1,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,2,512x1024,512x512,basic_aug,imagenet,0.708706,3476.433185,0.818841,2743.987913,0.948783,151.995442,outputs/train/049_segformer_mit_b1_ce_dice_optional/checkpoints/best.pt,Evaluation run on the val split.
